page,title,date,total,available,type,pay,percent,dates,days
213651,2020 충남 크리에이터 아카데미 1기 수강생 모집,2020.5.25 (월) 14:00 ~ 2020.7.4 (토) 19:00,110.0,0.0,교육,무료,1.0,2020-05-25,(월)
213654,"1초의 법칙, 확신의 기적",2020.4.30 (목) 16:00 ~ 18:00,6.0,0.0,강연,유료,1.0,2020-04-30,(목)
213657,[무료] 청년 취업 인공지능 개발자 Course,2020.5.25 (월) 09:00 ~ 2020.12.1 (화) 18:00,10.0,0.0,교육,무료,1.0,2020-05-25,(월)
213660,[5/23토] 25기 웹기획 실무 트레이닝 과정 (4주 x 5시간),2020.5.23 (토) 13:00 ~ 18:00,16.0,0.0,교육,유료,1.0,2020-05-23,(토)
213661,"(온라인 가능)네이버 블로그, 운영/마케팅 2시간만에 끝내기(4/28, 저녁반) - 원데이클래스",2020.4.28 (화) 20:00 ~ 22:00,3.0,0.0,교육,유료,1.0,2020-04-28,(화)
213668,[2020년 주말 재직자과정] R기반 빅데이터 분석 및 시각화 처리 과정,2020.5.9 (토) 09:30 ~ 17:30,20.0,0.0,기타,무료,1.0,2020-05-09,(토)
213669,SM Re-Spec-TFT 8기 : 상명대학교 성공 취업 멘토링 교육,2020.4.28 (화) 10:00 ~ 17:30,60.0,0.0,기타,무료,1.0,2020-04-28,(화)
213672,오색별과 함께하는 경복궁,2020.4.30 (목) 14:30 ~ 15:00,14.0,0.0,문화/예술,유료,1.0,2020-04-30,(목)
213677,"[초대이벤트] 공연 ""개톡""",총 6회차 공연입니다.,50.0,0.0,이벤트/파티,무료,1.0,,
213678,P2P금융 투자 강의(강앤리크라우드),2020.4.28 (화) 15:30 ~ 16:00,5.0,0.0,세미나/컨퍼런스,유료,1.0,2020-04-28,(화)
213679,잠재의식에 명령하는 3단계 실천 방법,2020.4.30 (목) 15:30 ~ 16:00,4.0,0.0,교육,유료,1.0,2020-04-30,(목)
213681,★실시간스트리밍&오프라인 동시 진행★ 스마트폰 상품 사진 촬영 교육 (2020.5.19 개강),2020.5.19 (화) 19:00 ~ 22:00,25.0,0.0,교육,유료,1.0,2020-05-19,(화)
213682,핑거세일즈 정기 기본교육,2020.5.21 (목) 14:00 ~ 16:00,25.0,0.0,교육,무료,1.0,2020-05-21,(목)
213683,[18차] 20대 월 천을 넘어 월 억에 도전하다.,2020.5.2 (토) 14:00 ~ 16:00,4.0,0.0,교육,유료,1.0,2020-05-02,(토)
213684,[04/27 월 무료강연] 출간기획의 神(신),2020.4.24 (금) 19:30 ~ 21:00,5.0,0.0,강연,무료,1.0,2020-04-24,(금)
213685,신촌 영어회화 스터디 2020년 5월 멤버 선착순 모집합니다!,2020.5.1 (금) 17:00 ~ 2020.5.31 (일) 17:30,30.0,0.0,교육,무료,1.0,2020-05-01,(금)
213686,[교육비전액무료] 빅데이터 분석 전문가 양성과정_기업맞춤형 기술인재 양성 프로그램,2020.5.19 (화) 09:30 ~ 2020.8.31 (월) 18:30,25.0,0.0,교육,무료,1.0,2020-05-19,(화)
213687,부천 영어회화 스터디 2020년 5월 멤버 선착순 모집합니다!,2020.5.1 (금) 17:00 ~ 2020.5.31 (일) 17:30,30.0,0.0,교육,무료,1.0,2020-05-01,(금)
213688,부산 서면 영어회화 스터디 2020년 5월 멤버 선착순 모집합니다!,2020.5.1 (금) 17:00 ~ 2020.5.31 (일) 17:30,30.0,0.0,교육,무료,1.0,2020-05-01,(금)
213689,일산 정발산 영어회화 스터디 2020년 5월 멤버 선착순 모집합니다!,2020.5.1 (금) 17:00 ~ 2020.5.31 (일) 17:30,30.0,0.0,교육,무료,1.0,2020-05-01,(금)
213690,"(온라인 가능)모바일 결제 쇼핑몰 제작기법 with 워드프레스(4/27, 저녁반) - 원데이클래스",2020.4.27 (월) 19:00 ~ 22:00,3.0,0.0,교육,유료,1.0,2020-04-27,(월)
213691,데이터 3법 시행(8월) 이후 비즈니스 변화와 전망,2020.5.14 (목) 14:00 ~ 17:30,50.0,0.0,세미나/컨퍼런스,유료,1.0,2020-05-14,(목)
213693,3D 프린터 무료 장비 교육 [비대면 온라인 교육],2020.5.16 (토) 14:00 ~ 15:00,20.0,0.0,기타,무료,1.0,2020-05-16,(토)
213696,"[책쓰기] 정강민 작가 무료특강(5기 모집) ""책, 누구나 쓸 수 있다""",2020.6.9 (화) 19:30 ~ 21:30,15.0,0.0,교육,무료,1.0,2020-06-09,(화)
213697,"20대, 책에게 나를 맡긴 후 일어난 놀라운 변화 3가지",2020.4.24 (금) 14:00 ~ 16:00,5.0,0.0,취미활동,무료,1.0,2020-04-24,(금)
213699,글쓰기 초보 탈출하고 달인되기,2020.4.27 (월) 19:00 ~ 21:00,8.0,0.0,강연,유료,1.0,2020-04-27,(월)
213700,부산 자기계발 커뮤니티'원데이 미니 클래스',2020.4.25 (토) 16:00 ~ 18:00,10.0,0.0,소모임/친목행사,유료,1.0,2020-04-25,(토)
213703,[범털] 온오프믹스 특별초대 시사회,2020.5.11 (월) 19:30 ~ 21:30,20.0,0.0,이벤트/파티,무료,1.0,2020-05-11,(월)
213704,[대전지역] 블록체인 + 인공지능(AI) 연구 모임 3차,2020.4.25 (토) 14:00 ~ 16:00,100.0,0.0,소모임/친목행사,무료,1.0,2020-04-25,(토)
213705,"4차산업 혁명시대, 생존을 위한 사회 네트워크 [변화하는세상 바로알기 공부방]",2020.5.19 (화) 10:30 ~ 11:00,10.0,0.0,소모임/친목행사,유료,1.0,2020-05-19,(화)
213706,유료강좌 _ 유튜브 실전 제작 업로드까지 1:1 컨설팅 (4회),2020.5.16 (토) 10:30 ~ 11:00,2.0,0.0,교육,유료,1.0,2020-05-16,(토)
213708,두근두근 어떤 강의,2020.5.1 (금) 11:00 ~ 13:00,10.0,0.0,강연,유료,1.0,2020-05-01,(금)
213709,나의 개 같은 사업이야기,2020.5.1 (금) 16:00 ~ 18:00,10.0,0.0,강연,유료,1.0,2020-05-01,(금)
213710,최성호가 함께 하는 1인 기업 토크 모임,2020.5.1 (금) 15:00 ~ 17:00,6.0,0.0,소모임/친목행사,유료,1.0,2020-05-01,(금)
213711,[4월] 푸름아빠 최희수 1:1 이메일 상담,2020.5.8 (금) 10:30 ~ 11:00,3.0,0.0,교육,유료,1.0,2020-05-08,(금)
213712,돈 없이 임대업 하는 21가지 방법,2020.5.1 (금) 16:00 ~ 18:00,8.0,0.0,강연,유료,1.0,2020-05-01,(금)
213713,나는 투자금 없이 아이디어만으로 돈을 번다!,2020.5.1 (금) 19:00 ~ 21:00,8.0,0.0,강연,유료,1.0,2020-05-01,(금)
